2017-12-27 22:41:55.069601: softmax classifer
2017-12-27 22:41:55.069658: Learning rates LR: 50.000000 
2017-12-27 22:57:32.402622: 
Epoch 1: avg_Loss: 1081782.670670472551, avg_Acc: 73.072756063005
2017-12-27 22:57:32.402657: Learning rates changed LR: 0.100000 
2017-12-27 22:57:41.169540: Iter: 24200 [2], loss: 0.000000, acc: 1.00%, avg_loss: 837058.850000, avg_acc: 74.00%
2017-12-27 22:57:48.907205: Iter: 24400 [2], loss: 0.000000, acc: 1.00%, avg_loss: 819932.012500, avg_acc: 75.00%
2017-12-27 22:57:56.594249: Iter: 24600 [2], loss: 0.000000, acc: 1.00%, avg_loss: 908622.727917, avg_acc: 73.33%
2017-12-27 22:58:04.281250: Iter: 24800 [2], loss: 0.000000, acc: 1.00%, avg_loss: 877458.984688, avg_acc: 74.50%
2017-12-27 22:58:11.962855: Iter: 25000 [2], loss: 0.000000, acc: 1.00%, avg_loss: 900050.906500, avg_acc: 74.70%
2017-12-27 22:58:19.638175: Iter: 25200 [2], loss: 0.000000, acc: 1.00%, avg_loss: 893215.829375, avg_acc: 75.00%
2017-12-27 22:58:27.320703: Iter: 25400 [2], loss: 0.000000, acc: 1.00%, avg_loss: 873104.665179, avg_acc: 75.50%
2017-12-27 22:58:34.993219: Iter: 25600 [2], loss: 0.000000, acc: 1.00%, avg_loss: 914325.664531, avg_acc: 74.88%
2017-12-27 22:58:42.675303: Iter: 25800 [2], loss: 5106589.000000, acc: 0.00%, avg_loss: 908215.775000, avg_acc: 75.22%
2017-12-27 22:58:50.351455: Iter: 26000 [2], loss: 0.000000, acc: 1.00%, avg_loss: 927461.417094, avg_acc: 74.90%
2017-12-27 22:58:58.025126: Iter: 26200 [2], loss: 0.000000, acc: 1.00%, avg_loss: 908076.122926, avg_acc: 75.45%
2017-12-27 22:59:05.716553: Iter: 26400 [2], loss: 0.000000, acc: 1.00%, avg_loss: 890964.354661, avg_acc: 75.38%
2017-12-27 22:59:13.394421: Iter: 26600 [2], loss: 0.000000, acc: 1.00%, avg_loss: 901459.324303, avg_acc: 75.58%
2017-12-27 22:59:21.075230: Iter: 26800 [2], loss: 0.000000, acc: 1.00%, avg_loss: 900499.027924, avg_acc: 75.75%
2017-12-27 22:59:28.770609: Iter: 27000 [2], loss: 0.000000, acc: 1.00%, avg_loss: 913984.255729, avg_acc: 75.40%
2017-12-27 22:59:36.471042: Iter: 27200 [2], loss: 0.000000, acc: 1.00%, avg_loss: 906544.438340, avg_acc: 75.56%
2017-12-27 22:59:44.149147: Iter: 27400 [2], loss: 0.000000, acc: 1.00%, avg_loss: 914251.415018, avg_acc: 75.62%
2017-12-27 22:59:51.821368: Iter: 27600 [2], loss: 0.000000, acc: 1.00%, avg_loss: 909204.583003, avg_acc: 75.78%
2017-12-27 22:59:59.562756: Iter: 27800 [2], loss: 0.000000, acc: 1.00%, avg_loss: 917423.190740, avg_acc: 75.61%
2017-12-27 23:00:07.246881: Iter: 28000 [2], loss: 3926618.250000, acc: 0.00%, avg_loss: 924745.570391, avg_acc: 75.28%
2017-12-27 23:00:14.961871: Iter: 28200 [2], loss: 0.000000, acc: 1.00%, avg_loss: 932740.967039, avg_acc: 75.02%
2017-12-27 23:00:22.675244: Iter: 28400 [2], loss: 0.000000, acc: 1.00%, avg_loss: 935512.012060, avg_acc: 74.89%
2017-12-27 23:00:30.390557: Iter: 28600 [2], loss: 6720241.500000, acc: 0.00%, avg_loss: 939201.437731, avg_acc: 74.93%
2017-12-27 23:00:38.115742: Iter: 28800 [2], loss: 0.000000, acc: 1.00%, avg_loss: 928684.678294, avg_acc: 75.12%
2017-12-27 23:00:45.833636: Iter: 29000 [2], loss: 4949573.000000, acc: 0.00%, avg_loss: 926825.566113, avg_acc: 75.04%
2017-12-27 23:00:53.562019: Iter: 29200 [2], loss: 0.000000, acc: 1.00%, avg_loss: 924278.389579, avg_acc: 75.10%
2017-12-27 23:01:01.273300: Iter: 29400 [2], loss: 0.000000, acc: 1.00%, avg_loss: 925274.912650, avg_acc: 74.96%
2017-12-27 23:01:08.986018: Iter: 29600 [2], loss: 0.000000, acc: 1.00%, avg_loss: 928938.846261, avg_acc: 74.91%
2017-12-27 23:01:16.700195: Iter: 29800 [2], loss: 5351279.000000, acc: 0.00%, avg_loss: 928961.730744, avg_acc: 74.88%
2017-12-27 23:01:24.404997: Iter: 30000 [2], loss: 0.000000, acc: 1.00%, avg_loss: 929841.354302, avg_acc: 74.82%
