2017-12-27 21:57:50.769086: softmax classifer
2017-12-27 21:57:50.769170: Learning rates LR: 50.000000 
2017-12-27 22:09:33.462732: Iter: 12800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 2476673.759063, avg_acc: 62.38%
2017-12-27 22:09:45.265742: Iter: 13000 [1], loss: 0.000000, acc: 1.00%, avg_loss: 2183727.256750, avg_acc: 64.70%
2017-12-27 22:09:57.149229: Iter: 13200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 2020299.187500, avg_acc: 66.08%
2017-12-27 22:10:08.495150: Iter: 13400 [1], loss: 8179944.000000, acc: 0.00%, avg_loss: 1878548.954107, avg_acc: 67.43%
2017-12-27 22:10:19.983136: Iter: 13600 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1819482.438594, avg_acc: 67.31%
2017-12-27 22:10:31.302163: Iter: 13800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1715089.828611, avg_acc: 68.06%
2017-12-27 22:10:42.967408: Iter: 14000 [1], loss: 474233.000000, acc: 0.00%, avg_loss: 1668775.221250, avg_acc: 68.10%
2017-12-27 22:10:54.678926: Iter: 14200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1592315.369318, avg_acc: 68.77%
2017-12-27 22:11:06.608677: Iter: 14400 [1], loss: 3919497.500000, acc: 0.00%, avg_loss: 1534869.865729, avg_acc: 69.38%
2017-12-27 22:11:17.918137: Iter: 14600 [1], loss: 1353891.000000, acc: 0.00%, avg_loss: 1488532.014904, avg_acc: 69.81%
2017-12-27 22:11:26.202111: Iter: 14800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1447720.933661, avg_acc: 70.11%
2017-12-27 22:11:34.325634: Iter: 15000 [1], loss: 2000153.500000, acc: 0.00%, avg_loss: 1436716.462500, avg_acc: 70.27%
2017-12-27 22:11:42.123293: Iter: 15200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1388710.229453, avg_acc: 70.81%
2017-12-27 22:11:49.927867: Iter: 15400 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1346850.779632, avg_acc: 71.00%
2017-12-27 22:11:57.835069: Iter: 15600 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1319156.205069, avg_acc: 71.36%
2017-12-27 22:12:06.370741: Iter: 15800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1297250.331053, avg_acc: 71.58%
2017-12-27 22:12:14.146679: Iter: 16000 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1275869.146437, avg_acc: 71.67%
2017-12-27 22:12:21.935363: Iter: 16200 [1], loss: 138181.500000, acc: 0.00%, avg_loss: 1257335.775000, avg_acc: 71.90%
2017-12-27 22:12:29.674942: Iter: 16400 [1], loss: 2291444.750000, acc: 0.00%, avg_loss: 1251328.615739, avg_acc: 71.84%
2017-12-27 22:12:37.423729: Iter: 16600 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1238735.712228, avg_acc: 71.74%
2017-12-27 22:12:45.159877: Iter: 16800 [1], loss: 8092412.000000, acc: 0.00%, avg_loss: 1229985.305885, avg_acc: 71.73%
2017-12-27 22:12:52.900933: Iter: 17000 [1], loss: 5306510.500000, acc: 0.00%, avg_loss: 1206841.784550, avg_acc: 72.00%
2017-12-27 22:13:00.644066: Iter: 17200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1214495.249615, avg_acc: 71.87%
2017-12-27 22:13:08.390615: Iter: 17400 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1206226.097778, avg_acc: 71.87%
2017-12-27 22:13:16.147435: Iter: 17600 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1196850.958527, avg_acc: 71.93%
2017-12-27 22:13:23.918768: Iter: 17800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1200193.479483, avg_acc: 71.91%
2017-12-27 22:13:31.814696: Iter: 18000 [1], loss: 369901.250000, acc: 0.00%, avg_loss: 1186434.064500, avg_acc: 72.13%
